,airmass_relative,airmass_absolute,ghi,dni,dhi,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,sunrise,sunset,transit
2022-10-04 07:00:00+05:00,,,0.0,0.0,0.0,118.76328947688256,118.76328947688256,-28.76328947688257,-28.76328947688257,290.5277031779664,11.147330969841278,2022-10-04 16:51:51.592012+05:00,2022-10-05 04:30:25.004232+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 08:00:00+05:00,,,0.0,0.0,0.0,128.98814571032685,128.98814571032685,-38.98814571032684,-38.98814571032684,303.73207228932193,11.160214817544329,2022-10-04 16:51:51.593790+05:00,2022-10-05 04:30:25.008642+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 09:00:00+05:00,,,0.0,0.0,0.0,137.52110619938918,137.52110619938918,-47.52110619938918,-47.52110619938918,320.6904333564695,11.173089201038238,2022-10-04 16:51:51.595582+05:00,2022-10-05 04:30:25.013028+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 10:00:00+05:00,,,0.0,0.0,0.0,143.02699207418357,143.02699207418357,-53.02699207418357,-53.02699207418357,342.5784752024801,11.185954094697081,2022-10-04 16:51:51.597384+05:00,2022-10-05 04:30:25.017402+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 11:00:00+05:00,,,0.0,0.0,0.0,144.01466907335745,144.01466907335745,-54.01466907335746,-54.01466907335746,7.819856568090131,11.198809472451103,2022-10-04 16:51:51.599186+05:00,2022-10-05 04:30:25.021770+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 12:00:00+05:00,,,0.0,0.0,0.0,140.13775060774353,140.13775060774353,-50.137750607743534,-50.137750607743534,31.45885692296855,11.211655308594345,2022-10-04 16:51:51.600993+05:00,2022-10-05 04:30:25.026142+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 13:00:00+05:00,,,0.0,0.0,0.0,132.61184807628132,132.61184807628132,-42.611848076281326,-42.611848076281326,50.29946234800923,11.22449157731171,2022-10-04 16:51:51.602796+05:00,2022-10-05 04:30:25.030528+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 14:00:00+05:00,,,0.0,0.0,0.0,122.93426405764954,122.93426405764954,-32.93426405764954,-32.93426405764954,64.79259568985441,11.237318252438854,2022-10-04 16:51:51.604586+05:00,2022-10-05 04:30:25.034933+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 15:00:00+05:00,,,0.0,0.0,0.0,112.12550997847697,112.12550997847697,-22.125509978476973,-22.125509978476973,76.48910490901534,11.25013530805154,2022-10-04 16:51:51.606362+05:00,2022-10-05 04:30:25.039364+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 16:00:00+05:00,,,0.0,0.0,0.0,100.79582287746639,100.79582287746639,-10.79582287746639,-10.79582287746639,86.6949465977076,11.262942718291015,2022-10-04 16:51:51.608114+05:00,2022-10-05 04:30:25.043827+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 17:00:00+05:00,26.178688157396092,23.892804916796802,0.5446210220466072,5.59698158807111,0.4454693481578442,88.9849404469399,89.34769569166063,1.0150595530600959,0.6523043083393711,96.3762943838019,11.275740456731,2022-10-05 16:52:51.553072+05:00,2022-10-05 04:30:25.048323+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 18:00:00+05:00,4.727434077108836,4.314641722391551,131.54752864218696,440.0436949426158,40.4235980427427,78.0487548495503,78.11854485745798,11.951245150449694,11.881455142542025,106.33352989998542,11.288528497345396,2022-10-05 16:52:51.554794+05:00,2022-10-05 04:30:25.052852+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 19:00:00+05:00,2.593327459697092,2.366882049527343,329.28639610024925,679.3229998401823,68.75513186165773,67.44835516847621,67.48496690688573,22.55164483152379,22.51503309311427,117.36691583804964,11.30130681405717,2022-10-05 16:52:51.556498+05:00,2022-10-05 04:30:25.057412+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 20:00:00+05:00,1.8793966669090225,1.715290607908058,504.0524909441315,785.5301796863007,87.10960388659447,57.941899273356285,57.96633833682506,32.058100726643715,32.03366166317494,130.3804360322153,11.314075380352733,2022-10-05 16:52:51.558183+05:00,2022-10-05 04:30:25.061999+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 21:00:00+05:00,1.5636906156732397,1.4271515289795476,634.0280386874767,837.645515268737,99.15536918832947,50.316740675894835,50.33522958268787,39.683259324105165,39.66477041731213,146.29856812030965,11.326834170024085,2022-10-05 16:52:51.559847+05:00,2022-10-05 04:30:25.066606+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 22:00:00+05:00,1.4281360452649525,1.3034333775247209,707.8590862621276,861.0701992119033,105.63785923807723,45.62216351983971,45.637853366534934,44.37783648016029,44.362146633465066,165.4691887314708,11.339583156863227,2022-10-05 16:52:51.561508+05:00,2022-10-05 04:30:25.071224+05:00,2022-10-04 22:41:27.314370+05:00
2022-10-04 23:00:00+05:00,1.4085733282827708,1.2855788472408678,719.7074894508845,864.504424203289,106.65943035653243,44.835634792709385,44.85090123188013,45.164365207290615,45.14909876811987,186.5618915285307,11.352322314211051,2022-10-05 16:52:51.563164+05:00,2022-10-05 04:30:25.075840+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 00:00:00+05:00,1.4970024875800565,1.3662865068204206,670.1627105233113,853.0216228579102,101.10997158352518,48.15618433312642,48.173322507802965,41.84381566687358,41.826677492197035,206.720993361718,11.365051615721313,2022-10-05 16:52:51.564820+05:00,2022-10-05 04:30:25.080456+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 01:00:00+05:00,1.7321608578581371,1.5809112058055248,560.0548588336508,813.6831023258136,91.2392917473556,54.818754830702204,54.84049164726059,35.181245169297796,35.15950835273941,223.87843686152723,11.37777103499684,2022-10-05 16:52:51.566476+05:00,2022-10-05 04:30:25.085057+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 02:00:00+05:00,2.2509264904640793,2.054379012246798,400.0294042858637,733.1980272581714,75.55217081633577,63.73326638759334,63.764179810028125,26.26673361240666,26.235820189971875,237.8735583509329,11.390480545225728,2022-10-05 16:52:51.568150+05:00,2022-10-05 04:30:25.089637+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 03:00:00+05:00,3.588023973273771,3.2747231761496884,206.5049851985444,560.5733588036334,52.062982384794196,74.00775708300559,74.06017457681794,15.992242916994416,15.93982542318206,249.52348582748178,11.40318011992349,2022-10-05 16:52:51.569840+05:00,2022-10-05 04:30:25.094189+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 04:00:00+05:00,10.26834611815646,9.371729749947225,25.743685501111546,146.60158771490072,12.909903594705286,84.97778978038674,85.12724135818608,5.022210219613263,4.872758641813922,259.7671061784182,11.41586973262747,2022-10-05 16:52:51.571549+05:00,2022-10-05 04:30:25.098708+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 05:00:00+05:00,,,0.0,0.0,0.0,96.54971213445035,96.54971213445035,-6.549712134450347,-6.549712134450347,269.43533314285884,11.428549356278381,2022-10-05 16:52:51.573278+05:00,2022-10-06 04:28:48.986290+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 06:00:00+05:00,,,0.0,0.0,0.0,107.98944738357183,107.98944738357183,-17.989447383571832,-17.989447383571832,279.30970488242355,11.441218964326254,2022-10-05 16:52:51.575024+05:00,2022-10-06 04:28:48.986285+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 07:00:00+05:00,,,0.0,0.0,0.0,119.08591283127305,119.08591283127305,-29.085912831273056,-29.085912831273056,290.27183604811046,11.453878530097427,2022-10-05 16:52:51.576796+05:00,2022-10-06 04:28:48.890468+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 08:00:00+05:00,,,0.0,0.0,0.0,129.33321513070942,129.33321513070942,-39.33321513070942,-39.33321513070942,303.4903632510856,11.466528026467131,2022-10-05 16:52:51.578586+05:00,2022-10-06 04:28:48.894834+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 09:00:00+05:00,,,0.0,0.0,0.0,137.894638530424,137.894638530424,-47.894638530424004,-47.894638530424004,320.51068605024926,11.47916742671805,2022-10-05 16:52:51.580393+05:00,2022-10-06 04:28:48.899178+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 10:00:00+05:00,,,0.0,0.0,0.0,143.41930469662128,143.41930469662128,-53.41930469662128,-53.41930469662128,342.5545010695838,11.491796704023727,2022-10-05 16:52:51.582202+05:00,2022-10-06 04:28:48.903510+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 11:00:00+05:00,,,0.0,0.0,0.0,144.38952430918155,144.38952430918155,-54.38952430918156,-54.38952430918156,8.018927837032152,11.504415831142978,2022-10-05 16:52:51.584025+05:00,2022-10-06 04:28:48.907836+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 12:00:00+05:00,,,0.0,0.0,0.0,140.45958717333528,140.45958717333528,-50.45958717333528,-50.45958717333528,31.810503602334904,11.51702478119114,2022-10-05 16:52:51.585847+05:00,2022-10-06 04:28:48.912160+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 13:00:00+05:00,,,0.0,0.0,0.0,132.87707712036263,132.87707712036263,-42.877077120362614,-42.877077120362614,50.693291512545386,11.529623527232616,2022-10-05 16:52:51.587663+05:00,2022-10-06 04:28:48.916503+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 14:00:00+05:00,,,0.0,0.0,0.0,123.15806124275062,123.15806124275062,-33.15806124275062,-33.15806124275062,65.17708662237936,11.542212041924358,2022-10-05 16:52:51.589468+05:00,2022-10-06 04:28:48.920866+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 15:00:00+05:00,,,0.0,0.0,0.0,112.32483345021839,112.32483345021839,-22.3248334502184,-22.3248334502184,76.85414437683062,11.55479029824346,2022-10-05 16:52:51.591252+05:00,2022-10-06 04:28:48.925256+05:00,2022-10-05 22:41:09.151789+05:00
2022-10-05 16:00:00+05:00,,,0.0,0.0,0.0,100.98498140678677,100.98498140678677,-10.98498140678677,-10.98498140678677,87.044905269237,11.56735826912336,2022-10-05 16:52:51.593025+05:00,2022-10-06 04:28:48.929678+05:00,2022-10-05 22:41:09.151789+05:00
